calendar_date_dt,residence_area_cd,residence_area_nuts2_cd,country_cd,socecon_lvl_area_nm,test_positivity_percentage_area_nm,cumulative_confirmed_cases_nm,variant_area_cd
1994-05-05,BSfhbOdqAbpGCrymZguP,ohvJulELziqWWWPVQNHt,cOfCIiFweEEdOGBJUYZn,4326,72704.77,5210,nveJkprncOSmXEgaFjPD
2010-12-18,QCRnUQQRUwbUvaVCGXzT,rLTiiLdMdQVTlERUUxqC,UBIbDQlSkHuKMuvQHFlx,7793,26741.69,9758,FTjpNmOShUQFiARhiGxb
2010-05-29,XUXoJVOPILuOcYrcLluA,EagGWeRbYPIhnlWzFNME,mkBiZakOCbczsUhMsgow,8320,7999.81,7774,yAoVUUGQEDXLoAJLzpRI
2023-10-21,hvkFnxQjuSJZhIluEmqY,HDzuiRKJyWxorgGGEewU,VdVQruKBScDviMBlUTNr,5761,47204.22,5750,qQuTVorsgeiWWWZwLiGW
2002-05-06,kgrBIstDNAYnDqoIhbsh,YqsDgctnZigwHvaeDJyt,IfNHwtqcmSJLLSmnvAMb,6425,88860.45,1506,cZqYxMZavbrjeoyHNSaB
1996-01-16,bSzHizJnCzJoVIYlXZnd,SHpsqrggRRxvyxMqgaEe,lBUGubsGXOdqWLBmaqCy,2190,11988.36,1870,NkCfxCedzrLyavfGOAhh
2016-07-19,pnGztPCcSOFMfqCLEKnG,nqKMOKPCiRzqnelQGrIm,aYDVooiPVWHMKZnAqwVp,4477,94510.43,8022,TbnUVOOFNlvuwrIwTXyd
2012-04-03,YWBDuRdsIBiLrPhDGeFD,nvlnxaoHOFNuClrEiODX,YJWGJockGROvFsfcYqrQ,415,41037.65,5863,RpKWGmgKlxtZrETAPlIE
2009-09-11,xzhBaUWlhHTCaRKQZwdh,MUVWLMPuHgXcrvCtXoIX,nGUBioDZlVVwvRCgufVV,8976,85581.2,3735,ALBFHpITqyYsmZpgCprA
1996-03-06,IrNiwJpAWBIChwpOFfGl,xGifUsyRYeRIkVgZNnmC,vmHBnCimkfiuQEpDPZAv,8197,25969.13,546,PeZRJjgEulBhwXLbBZUP
2014-04-23,gfEMYhJONnIAtecWyuoV,BCdCJfgHHlxbZIOOvTni,XJBCergeKFJwFHfGpVbc,5886,32940.15,2358,URGkBrGkZDlLDRlCPNUN
2016-10-25,OpiqlAOmrfnSuwcrMnHN,JlPubaMdRBBTqEaUpfzP,nvBKXELKzgdBJDwaxUhR,701,92387.7,3819,bHORqNTrclmKgbjMkJDA
1996-11-14,KcEbnzntVfbQUVIqwLSS,IObHomlzJvEYMuSjiQOY,UWTukPtmlGjaKjzVkYDT,1086,76125.9,1901,aBMbWjKBEFHUDZQyLRCm
2011-05-15,OIZhSoAAXfPwmBLIYycK,rjBJIsViCAMhnWNrOnWz,JFCaiKQmorjlqHNTVMOn,7662,35917.6,8957,wEZSyiuQeNdJsPqFWGtK
2013-07-18,WfrDFoWMdpULdnhsLQdb,KVhalHqzVWnBEwNmSrzt,AKaVxIgWRmPufxYzBVhd,5568,2350.5,1155,JvbBuYUNwlLspumAdPYU
1995-05-30,BpPgzKjYIcyCgpPQaxKd,DLIUqqgpYABMOatZMhBD,IBbiMzHzsJqRpyumIXmM,1103,69765.8,7402,EhVQnmrIIdmHdBHVXByF
2003-01-07,ldNbzIvkMiIEepsvpXep,WtBWRTEZSTTMDFtHIhpD,kIBAUjPDgaMAgGxvThOD,9794,1376.82,6381,AbyUnEjAHyhBxUtMkHtg
2021-11-23,DPHWjUmZkBtXhoAoOOWQ,NgsiHnegOmcAmsBLLdYw,NYWwZCAplStGjSxkxopM,2430,88341.32,8935,PCSfuoDxjzwPZUuaySej
2012-10-11,GzaHSwQFshvMBGIMeRcD,JYrzwjOxuRKecdHxkJlV,rAtwafurXyQUjHAWgMyR,7019,80823.31,5598,QohvACPMakqhWplSDDam
1995-12-28,qXlmxVOlLuEWUFNgwawK,cBuaPvNhlAQoQfAnjjpk,guNanMhtwMxsGNCnTcvN,5806,55911.4,3347,blXagbtQVXLGfIgXioBB
2015-10-12,ooHLVjtQRQJuXmAaUEmf,psJlYwWnpFOUeflJDzUm,yojxqcAIQwiPThSAbUSS,9423,48038.42,7557,wIIzxesGjbHkwGdlTNeH
2004-02-19,dRfVLScjyEKifmXgomIt,wUkqdLJZKXXeZwGZPzCj,YzTGPVlUNNkFqLrsdtJT,506,17463.24,6727,LiShfeiBYwcwadZAvdAo
2010-03-19,bmlaDiMEJpDGmnDavYnN,XFZUilZKEHcseLGVIsTL,ZzXYrPHlTfSFWsSySQvQ,3186,25691.53,7119,KhxepTUAvQnmOlJFYzkb
2022-10-09,FdZzKiBgQPprKqkpwCaz,FiSAdRjExqKHVfTRqWzk,utJFdsoHrwtIVbhaNeFM,4630,76442.4,243,xESjfyOwqQmKmDgkvmVl
2005-12-06,JsuHSSyjGvkiyevVHZhB,SuIDAgJGTBJtCLpXyysq,ejrlujvWhiQJunrcxrQo,7757,83003.82,5329,jWprrrEuHjmujiCzdRjN
2002-11-29,ivjNTcqPxqiRGPPBlBPH,QajvaIFCvnzHjlQRBZrB,ozoFzMOAgfVhGSuzgZVU,7349,89253.68,5489,STmKSyPlZfgTcraVYFhK
2002-04-28,IgqzkZCsjcFZOgtHjPrB,ePkAfxafhzxydyIZxXqS,HdCovoVjEaDQhkdagHIm,9747,9207.22,2025,WsoEieFwxXyYVRruBjfP
2016-02-24,hrgCqyFYqQQRUvOoQQpg,EfGfzkMDDuEhfVhkXYQG,vOzGFkkTWaazpOFTCjUs,3709,93231.88,5032,olIJSPlkmIKlaezidqtS
2000-08-25,IhfLRGnmvDYfkgwHckRe,bepLBfdDVyQkoeDQHORw,ekwByQMZRyTmglKAPYYh,5842,66871.68,3602,WiSknYYnJdpsUdmXiVmx
2009-04-09,ebuwOYMxDhPoebcPWhKX,IlGrYFuPAtmJwQnclVMa,MlUFvaUTUuscohrFpNNb,8662,89034.83,9266,gKlNAJeFrRMscOkmFJeB
2023-09-02,dJTkJMelZduIccrdEgGj,uyFcOwyofDNAtJaZzmxW,FpaOgGEVuxzbsRPjvpkv,3360,1496.23,5774,byvIpWqRBRzzLGUrJoxD
2011-11-19,SPqlafPJrHaiVgzVcAsg,uIxVNpuVTNYLPNGTuoSQ,vLQQrpyJGKmNCIJMWBGJ,9057,83480.38,6881,wnYrWKrHYCguiwIHbHmq
2016-06-26,oASmjrRvFmgIrodLcroK,ebrJwypwpgCUmsENviVN,doPSEtOeDRhKlrZcCSGj,6187,17457.65,658,IBrDUEKoWFhlsCxRCWca
1994-07-02,GUPVDxmGSKxCUfIRGOuA,FQQPwBmakMEsdnxPFjXX,tcNoOwTkPbiNkNzOkhsa,7482,96306.77,4848,dzioLYvtazJFVQhYKxZM
2011-02-18,mVjzWBnjsHHZByEBgAdN,GTbdNcUVBWNxgKvxbyuX,xXSjkWGzhCaIzvnuMMzp,58,33010.34,3300,pfnHrqzAJWKCqFptAWcJ
1996-03-31,SBqgGpvymAvEunqDmJXq,xVJPsstuQdBAkdZgCrcl,znNDcjptfateWcpNShcL,2738,92095.15,4398,hLMIquSsAdKAhmuwQwNL
1994-01-15,cHgBTGTlHVDNXDTKacSX,BbCnEqmnPeRUsmNTuquO,kGaJmaQHGMOOfxDJIDZl,2322,14818.3,2870,NPsIbUyxanFnkYQvpQog
2005-03-11,PhRJJMCQWsiUvGfbvQsj,ZwyOyMIfnOchvkcxlLxK,aJBhmzpsExOKYtobTdCT,8787,9582.36,5278,LjwLFiGnhgmfWqhooprU
1998-09-26,tIZjHstgnCdiKLqQMDXZ,pAsqdwZbXItPWFVjuhaJ,zIkusyiQfKhwWAFPtniD,6534,60345.75,8458,zezjySdLvfeMihsGCDAX
2018-01-01,mYJYxsFkTnURjHjXxFje,FREtcBHNLCGeRwDaygDJ,YMrawBYJGNIPkRNOmaGh,5940,81169.96,2085,JemFvkNxZCijoiGMXGMz
2009-12-07,DTKYjcxkdKGPUVUwNDTO,cDDXnHLITCpWvkLMcZRL,ZmJbUnpARUitSdhaMBwn,9371,27423.31,8895,kFRPpHwfeFXmdOnejpTZ
2016-03-18,OwDeuqFFIXsbReEKTfPK,FizzlsBxcHlYirtvfOjY,CBMuHeBktigMGzFWUoiq,2451,71446.23,1400,zHTnGozvRjoRDSSrdpjb
2006-09-07,UMuYwQuCRDMvKieZTgZo,BoYQYiuwCEQIwdNaUjRy,gKGacuYtgitvUnQnCpgr,4024,83835.7,4026,IBWhVPnbrYdHkOuyfIvt
1999-07-13,kLVSpoWtMQeLHeiFRteo,LFDperZwbZIJdYeOwBnE,fDXmfVVFsEoQuujmzsTM,2378,134.29,4357,uTGWdXyTXUpTjHPQTwNL
1995-09-09,IArzWtdbfIgfxOJrZZno,UQoAWVreohNVRrHYBAJW,BbzNXmzaGzcfrWtYCIVG,7434,42526.5,1131,heqqUjopcQDxwNCAkCpn
1996-06-09,IrxuOIHCwDVVWyQNtywB,aGOCasptquiBvhVoKavQ,xSXpGHPUVPtkVCrPyIvc,4038,61911.96,7631,ICrrvvqiRGRNjNwkXgjy
2013-11-01,BasyNTFPUOBxmiTQhVHu,cWlUCWXVXWUgSVomZzkm,UMLrABYAuEoGsdZlDbTu,8342,98334.85,3938,wjleUvHkOXBFzrJCahTb
2010-09-28,oOoClbTUkRevvtEHEvRE,kAykDMCpOLVUGPqKMFql,hzUcSNIXrWmWlvmPZBEa,6398,43742.3,9476,skLIIcSADlqjLNvLvfek
1999-06-05,HRasGKHQXUeXAcLESrXe,gXxiSukPrgtoqcCJYUCx,tRVfUCmEsYhfIESnluqs,5258,3568.9,7165,JWAxCphXrQBNKEQrJlIS
1996-05-29,gifQAKeczxrKYEaSQVZW,QUGRAajACQNpYJnbeStM,mbjfrsSTuLdsnktnMlog,6758,59927.53,3360,WTitKWIQEtpxBNPEuxjB
2012-10-22,tPWCmJdbEiBXmLmJekzk,ojwPtyPjNnezGqdKGOjj,InvnjDJysmfIwWLyShME,4381,67136.78,6077,wWuDcSXKQpWuxpYXPzbc
2001-03-01,VOeIqCScNsYToTpZxKOr,ixLANICyAZtMfcKLFJrf,bjPXqaXMBWqCCdbYkoVv,3545,83288.84,149,JDwoRvfowfzRyYBLhOVm
1998-10-02,nzKEbpCkyUygsVcjGsYH,EstJmuUsdlNmBPCxDXOF,KKdUBQZEFULVpBQhqLKO,6795,85423.0,1207,WsYvxRKsBFgvfaKUfvON
1994-10-08,CMDuyYmzuEIVufnNcXvr,PDSXTFTnJIeRuozVThbV,HkJNEyONQIfpAdNsOvAw,2030,14363.12,9782,WsBgyUBRzuXzcQIdYsev
2005-08-16,FIaMyjPZEOcBLCrTpbvz,oRWnRbLDcTqDxHopmXFZ,ELsOrFdpcxcJxBXPljLi,7868,89284.1,2807,TiwBPADSClKvFZlQQeGi
2020-01-29,ZjTjIsKxDqlMchrFJEQt,UucZQpYrmdTHvXDJiKpo,LtaTOrVVWlTHIegxnDzQ,4475,23819.23,5106,lRTrZRPKhrcNeAqSdTZB
1997-08-14,ujgqeCCndPLlqyAvLSbB,pEAJtQSWWicnluOzrrFa,wEsvSuVbQqmbVUDSdlqF,9545,10599.48,7589,BXtXZVSdCOryWOlObWzE
2011-11-13,tUeLxZlcRVuPLJlDIqkD,ITEYrCrKdKFlaXhZNbuu,EwuPcZrOHfFRWzZVmCRa,9085,91337.21,3882,WQeUcDLTPyTfIAVCPQQO
1998-08-26,WuyacEtVIezdavEcGANI,LzOWdSDoOJvBzyvvQoNQ,MdcpooLiOhjQhUDXoUvB,9405,92113.88,1610,hNpjkljQlfaPeodpETDq
2016-08-28,oWfbWcBBrkFziEwyNDjg,AqGXJywdzBkGlVEdYMsZ,ETKjTrEZUYQvHthyIogu,403,97158.26,8184,ReVFuBtGLofjjTXYLfWT
2004-03-27,bXjySsliqvXQtYsHBYvB,bhpGCeYkdBhisVdMfLlR,wjGWFtOWIcuIxTcqmLia,1396,35495.88,8111,SaKIeZesdGZzUxCwBxXB
2009-04-18,uYOxRNQSPghIedZuhgLb,camKCqzRhZMeymHqUVVD,MJxuxchQQGVXuiOJsQCc,3313,90330.98,7078,GJFQhohsBDxSaivppgqU
1995-03-12,hHhCuOXwyLZEWbMMWozI,FkCGbWNvENFPWxkaDJFr,ALrFBOCjlKqaOFfSWWkW,1498,70248.45,3515,bWwAwVPMarSomXaAaric
2008-01-03,xAKeHwUKajXQYSXApGcv,oRVemqdtlirDrozWIBPb,rtDnyMpTMmFYhdJYMePu,2455,88643.77,3973,XMPZHZKTfBSJBPEZDVph
2003-04-06,XAVpipuytowwtXrmWgDE,kLkUhLEfOjxSDxrlfGJC,HQwEQzgWXrgUdDzgdaCf,695,1547.5,3105,jtjmuWZCYYPdShuroVPW
2016-05-19,YSHHjuacPDeGlIOvVbmE,qRUmMDRqftRBsOnpXNEJ,WmuTFhxVCbWciZAlFfzo,292,26797.6,2953,ySgpIFnBqDBPUuMddRPv
2021-04-14,sKaWUIeTMQjHMRoXMqni,wrxmSHbKAcUOGPSctSOw,imylWrydVoCAGXekPKSB,5446,48977.2,13,zSWTPimdLgqUNnQWGAKA
1995-03-19,RXePswpiKvQaYadBoakQ,OSzvaVziRDOYXwLoKCOK,hNgclIBSOJSWNOVkqert,8093,84517.35,1803,tLfeRzKZEMugQVcqyXeM
1999-11-17,iBxhUPUBOFkDQjMqJiaK,ZogBbtCbQDAphVyYxMwh,njXxOFjUpZpePhILZGis,5683,94694.16,6858,aFXebrWrVcxHISGASvqe
2003-02-02,BHskpWBGWixDvnaIBnzK,ChCLhPBfftsvNfwoarqZ,EebDDmEOwwQctDwfRONf,4163,58524.36,5661,YLtVfeWYwUTgnqGMPjSY
1999-02-07,RbeXAVsfMcwhkjopbsrJ,YKFwBdclPXbeyNDauagA,tzlqUEfthQTslCAbKEIl,6612,6292.12,1042,oFkZJfetZoPLVbFjEPAU
2004-01-23,VjLMStqKYvYfGqCfQpGq,HogaYpLidlcblmGhNdVo,rErFtIRklfathGIEgrfn,9626,11388.24,4832,JxzywQsBZNOrgNVQxECB
2022-09-07,dWXgyJctZyvyVdsxpFhw,FRofzEBRCtcaRwoEVVdo,JiZbpnZoGFjGOoFVXeIZ,191,1028.18,297,iGoIQwSqDyWXokxDCaFM
1999-02-07,JBDWPwkxUCxRyfqpSTBW,nPKyMJuFwzEelUmfnwoY,dfXOjjhZhHxnCwZPDyfZ,2783,33685.1,8088,DobuKRCoZEPpwTfjlXte
2020-05-10,xiqFuHEAtuqsPyJVxeHX,kRKNnZwOFoynIhDAIpmY,yTHNeuLIZAiAlFkRImhZ,9274,80536.21,6378,aJSGklXeNgyrHTNpSTRl
2022-03-21,oXcZczyVWxGYYVOCbqSh,pwcowdZjNWmIYGWruyWW,gFXqALQceOrKlLMtLwrb,234,79761.73,8853,ooxhQNRttLoQodXwTLBX
2009-08-25,eqhTcdJjbTBiqkRdMfFY,pOwNmijLcWmPitvOkPgZ,gBxuTnaxraLHRQKhUKyR,8219,51289.81,7172,tAYXiicpajuaBFcfRUnP
1995-03-30,nvTzATidqmzcHkoVckFw,BjhoeAVwQCRszTvRLROq,HoMuQucmvWadFZGJIzYX,3587,79328.28,848,OpIYRvsMFIsoXoOieRSa
2013-01-02,YYYkrggUXSfnThriMCNC,OrHAsluixeFYVHDfLJuy,czBjIwlvSJzwebafUCwt,6050,5324.18,8096,HEAxjjlNBTKZcKZckCDJ
2006-12-26,acGVyXADbmOxBUdQbFQe,ihEIgqKiCGkOmjoCYEkf,dQlTjnxrWzZqDFEHGHgy,9549,86945.28,5668,MAQaCxRazbFWeEtuXwAG
2019-11-06,wSVdRVMTitFukBbjfuQJ,XCcyzTYeUVbuSaugOZGp,flCmeliIdZHPvNhbSHnF,5898,27978.11,8363,gqjxWUNAwYudfdnveOLV
2005-09-27,AxdxCthnWKRrjbSjUYsa,tTVnsNdyFWdtoBJuiTsd,KohNClYRgqcBmLkqzvjl,1951,37322.59,5881,oKFtOIkXtJNYplbwLIIB
2010-09-19,ERyxPaNjJJjyjUEfDJjt,hyDjYgpDfIhHxjuzKBYa,jLbEMTdEcimeODiyLIkf,1265,60518.52,2986,ARPfezFeZUbWIwMygCDY
2005-06-21,oLthhCpQpmvYcJWXQfgr,YDqHkpuhCAsAdrKFkVuV,iHaonUzfzYfXImiqSVBh,6852,80079.15,5152,EgBvxDpHJDrPTcUvheog
2013-09-04,iDRbNZMbbQeKUEAdVyLa,DKeHTnvhhxzSdtfjzicj,iDzHghzSYhgmFwvLgqmo,300,12007.63,2694,fBoxOfnlNIJeBkiZzyKN
2021-08-16,ChSDJccWotwKUIZxQCsM,RGdrgFXosGoFFAxpnJaP,waKoxicDakJJOsTQUfqD,5961,96917.5,4228,ZilYEEbaSvrtoxVHRUeL
2009-10-09,ANXghKjWSYwvGFhQaQeD,LwmEebziDvmlBwDSHict,QZaBCHlavMCbjbHgqqxf,5518,25195.89,231,KRbEASRSZpJXpmUoUpxO
2010-01-14,TigEVtlaDhBQhlVcDSvm,fZYIYwPTgHRQDSFMpBLZ,VmeAxInctJNBWKOURuGK,9244,85140.63,8338,ftApCJqYPNXhcSNPoqZk
1995-05-22,QTTjBoZpvqbhUELzwktC,COmlXDoiTAzsaaPvnCqP,HXGXbrowDbgrbzfbzPEv,5743,81862.37,7822,XndKXjnNHFvfdHPIGfXr
2020-06-25,nPKsfayVywPyhrWptsOh,gLcMzwPWDonCHuxMUKWq,PHvXitmCKiygnOkyjNhF,3257,53233.79,9889,HovhebWdIEAjDcjIPWdo
2009-11-12,UpAbhNFXrsHMLRcSLPmB,UwYmZQykSDprEZxEdkQC,WbgGlGgyqnKCcVkOpJGO,6167,11522.3,968,ELTROfIrYDWkCPQrRstY
2023-06-15,TZyHroxkUpoOSEEKeeup,iVdQycBjdCnkqIJTJBuC,rCyqZElePUIWJuIxnsTS,8516,74241.8,5362,MjFheovuUuemMmnYUCAD
2021-08-27,JlIhnWEkbLGIECZPMkVO,EfuSlZQteYcVVQaKlkMU,NQKiLpZtIkRtMksRNgMe,2379,50521.56,123,kSpiuLuBiqaYYOrdFodj
2014-02-01,POXhpeBgidxSfWxUbeKB,NPVkMoBmLFGWAzbztyRJ,VDkkFGLCWIwdykzHzLzD,6302,41072.3,7109,pwxDubDIFPTYtAjBbnLP
2023-11-03,CzfZgADPjnXBMMrPoHed,jTwKhiwEsdWIoqaEEMaI,IbIpVqqcqcPoRMgquyxh,6574,92971.8,6576,qaRUjusFBpyTwIYgnLvk
1999-08-18,qLMGfNHZxbIclfnYGmtM,jwrIoATyRWOjAeAGKdPG,GoFeDpawNNLcZwJSEHND,3555,41699.64,6605,tSRNrJnYEVSOyNIHNcPr
2008-10-20,kpNoegzNKdeWbwTAxHjT,MeHmWzNpRAbXQTzzJjGl,bUMfcuTsjtICuMAMXzny,9821,61695.14,2212,bCrLjgMSRFmQQhrFFbuY
2018-10-21,oRgdVJlIzUorHcILdWZE,hHaaIJyuDGjGKcbwEUlY,NuXEpIaTGRDMkPiwQzoG,2655,69385.74,1264,XvZxPjymqEhHoxLXzzTR
2020-06-02,sGLAgZJfNCdtcRjHMzOD,uysiklSttgwTxzCrxpUl,xyCCLrITSminDcMcYblt,6948,35360.31,1232,JqxoYxnCVlIQHrdJrUFN
2011-07-06,wDDQoRukdAJFPomPKiFf,OaPUoWseUVvBbHfDdSZE,onfMiYBqNPQwGetakgsL,5487,72872.64,4349,nDjXSIByhjkcQZJenVAs
2021-07-26,wdSGVYMSkvfdRREYIaiW,cSRPcuOrqaRgNZyBMZTH,EZTXdynponVaYfTwzdVO,7699,87577.91,7931,bYSNueaLzPpZytAVnXRm
2008-09-28,TIxxniaRfvTJoEHJPFAD,XKLmChrVnnPLoFShiXHT,xwKidfYbEbRAVoGmFINC,6440,90080.26,277,PEAUsEoSaWEAVcUiXnEV
2003-11-27,ETImTjRfmKmPrWabCCKR,kNOuuuwDsLvKdTaHfKfG,wxxVJKOyrLPeHZXxBjbr,9960,54000.41,774,VhrkxguQHJPKhnbxWRBD
2003-03-16,emebRZIDQHZLJZiscrLR,XpCeaNfcjZkEjhurCmgi,jZimtfbPgclMbDjpmtgQ,9027,29146.96,2095,chBZducNyXJYgtfekOmI
1998-01-22,rqOMUaSjClXeKmcXvZpR,JjSJfKLViwGAAwJiwSRl,ssZOiuHwIMZEspFNuDBq,7061,42069.71,1296,nvNRvgWZCBUarovBybgL
2020-04-21,ChkaQVgIyFDdKLyFyQlg,WuRIVXiSkAvrRXeVeYrz,oNSDojFnzJEPlRjIkhAd,3426,26012.44,3987,pSNALewcLNUbKPmgIQBI
2000-02-28,sQCYYVfXbyrgvkWtKRzJ,xWVMJNZdqWbEdwZZrkNS,xNvZHyAjHPZyyWXakxyT,4297,75348.94,9196,mGYQajwJhnjVRygZSDAw
2008-01-04,ZzNqcSbPybgHMjvBRtMm,LlEMSfaIFWoUWOrBgdax,jEANeJAbxzAlzrYElBXt,7834,76738.7,3891,FuLmfcAvgDtmtlGeCOCS
2008-09-06,RjdAalIEyRMybvNoDbFC,eWHCQGGkZXseDVJGhHfh,LrBfTKPTdsDAbXlxSouE,7497,7521.4,2618,UxMoujkZLypFLYcdrOes
2020-01-05,HfLWOocmDJLGDCLCVYoE,zsFdiDZEgcNdQfYmrqXv,DgWQWtIHBVjHrckPotPG,5955,7316.39,7772,zSSmWGKhasOzvWBeCxqg
1997-11-28,KFrMmlJOWHIUNbcnawnU,fMnYuLXJCvDOzMDDivIw,qXopmTwtxbVwMWBgiHtl,8735,82728.75,7739,gasAeHZherQvhCJVjqMe
