classification_system,code,code_clean,description,source,observations
icd-10-mc,O03.0,O030,"pregnancy, childbirth and puerperium",,
icd-10-mc,O03.1,O031,"pregnancy, childbirth and puerperium",,
icd-10-mc,O03.2,O032,"pregnancy, childbirth and puerperium",,
icd-10-mc,O03.3,O033,"pregnancy, childbirth and puerperium",,
icd-10-mc,O03.4,O034,"pregnancy, childbirth and puerperium",,
icd-10-mc,O03.5,O035,"pregnancy, childbirth and puerperium",,
icd-10-mc,O03.6,O036,"pregnancy, childbirth and puerperium",,
icd-10-mc,O03.7,O037,"pregnancy, childbirth and puerperium",,
icd-10-mc,O03.8,O038,"pregnancy, childbirth and puerperium",,
icd-10-mc,O03.9,O039,"pregnancy, childbirth and puerperium",,
icd-10-mc,O04.5,O045,"pregnancy, childbirth and puerperium",,
icd-10-mc,O04.6,O046,"pregnancy, childbirth and puerperium",,
icd-10-mc,O04.7,O047,"pregnancy, childbirth and puerperium",,
icd-10-mc,O04.8,O048,"pregnancy, childbirth and puerperium",,
icd-10-mc,O07.0,O070,"pregnancy, childbirth and puerperium",,
icd-10-mc,O07.1,O071,"pregnancy, childbirth and puerperium",,
icd-10-mc,O07.2,O072,"pregnancy, childbirth and puerperium",,
icd-10-mc,O07.3,O073,"pregnancy, childbirth and puerperium",,
icd-10-mc,O07.4,O074,"pregnancy, childbirth and puerperium",,
icd-10-mc,O08.0,O080,"pregnancy, childbirth and puerperium",,
icd-10-mc,O08.1,O081,"pregnancy, childbirth and puerperium",,
icd-10-mc,O08.2,O082,"pregnancy, childbirth and puerperium",,
icd-10-mc,O08.3,O083,"pregnancy, childbirth and puerperium",,
icd-10-mc,O08.4,O084,"pregnancy, childbirth and puerperium",,
icd-10-mc,O08.5,O085,"pregnancy, childbirth and puerperium",,
icd-10-mc,O08.6,O086,"pregnancy, childbirth and puerperium",,
icd-10-mc,O08.7,O087,"pregnancy, childbirth and puerperium",,
icd-10-mc,O08.8,O088,"pregnancy, childbirth and puerperium",,
icd-10-mc,O08.9,O089,"pregnancy, childbirth and puerperium",,
icd-10-mc,O09.0,O090,"pregnancy, childbirth and puerperium",,
icd-10-mc,O09.1,O091,"pregnancy, childbirth and puerperium",,
icd-10-mc,O09.A,O09A,"pregnancy, childbirth and puerperium",,
icd-10-mc,O09.2,O092,"pregnancy, childbirth and puerperium",,
icd-10-mc,O09.3,O093,"pregnancy, childbirth and puerperium",,
icd-10-mc,O09.4,O094,"pregnancy, childbirth and puerperium",,
icd-10-mc,O09.5,O095,"pregnancy, childbirth and puerperium",,
icd-10-mc,O09.6,O096,"pregnancy, childbirth and puerperium",,
icd-10-mc,O09.7,O097,"pregnancy, childbirth and puerperium",,
icd-10-mc,O09.8,O098,"pregnancy, childbirth and puerperium",,
icd-10-mc,O09.9,O099,"pregnancy, childbirth and puerperium",,
icd-10-mc,O10.0,O100,"pregnancy, childbirth and puerperium",,
icd-10-mc,O10.1,O101,"pregnancy, childbirth and puerperium",,
icd-10-mc,O10.2,O102,"pregnancy, childbirth and puerperium",,
icd-10-mc,O10.3,O103,"pregnancy, childbirth and puerperium",,
icd-10-mc,O10.4,O104,"pregnancy, childbirth and puerperium",,
icd-10-mc,O10.9,O109,"pregnancy, childbirth and puerperium",,
icd-10-mc,O11.1,O111,"pregnancy, childbirth and puerperium",,
icd-10-mc,O11.2,O112,"pregnancy, childbirth and puerperium",,
icd-10-mc,O11.3,O113,"pregnancy, childbirth and puerperium",,
icd-10-mc,O11.4,O114,"pregnancy, childbirth and puerperium",,
icd-10-mc,O11.5,O115,"pregnancy, childbirth and puerperium",,
icd-10-mc,O11.9,O119,"pregnancy, childbirth and puerperium",,
icd-10-mc,O12.0,O120,"pregnancy, childbirth and puerperium",,
icd-10-mc,O12.1,O121,"pregnancy, childbirth and puerperium",,
icd-10-mc,O12.2,O122,"pregnancy, childbirth and puerperium",,
icd-10-mc,O13.1,O131,"pregnancy, childbirth and puerperium",,
icd-10-mc,O13.2,O132,"pregnancy, childbirth and puerperium",,
icd-10-mc,O13.3,O133,"pregnancy, childbirth and puerperium",,
icd-10-mc,O13.4,O134,"pregnancy, childbirth and puerperium",,
icd-10-mc,O13.5,O135,"pregnancy, childbirth and puerperium",,
icd-10-mc,O13.9,O139,"pregnancy, childbirth and puerperium",,
icd-10-mc,O14.0,O140,"pregnancy, childbirth and puerperium",,
icd-10-mc,O14.1,O141,"pregnancy, childbirth and puerperium",,
icd-10-mc,O14.2,O142,"pregnancy, childbirth and puerperium",,
icd-10-mc,O14.9,O149,"pregnancy, childbirth and puerperium",,
icd-10-mc,O15.0,O150,"pregnancy, childbirth and puerperium",,
icd-10-mc,O15.1,O151,"pregnancy, childbirth and puerperium",,
icd-10-mc,O15.2,O152,"pregnancy, childbirth and puerperium",,
icd-10-mc,O15.9,O159,"pregnancy, childbirth and puerperium",,
icd-10-mc,O16.1,O161,"pregnancy, childbirth and puerperium",,
icd-10-mc,O16.2,O162,"pregnancy, childbirth and puerperium",,
icd-10-mc,O16.3,O163,"pregnancy, childbirth and puerperium",,
icd-10-mc,O16.4,O164,"pregnancy, childbirth and puerperium",,
icd-10-mc,O16.5,O165,"pregnancy, childbirth and puerperium",,
icd-10-mc,O16.9,O169,"pregnancy, childbirth and puerperium",,
icd-10-mc,O20.0,O200,"pregnancy, childbirth and puerperium",,
icd-10-mc,O20.8,O208,"pregnancy, childbirth and puerperium",,
icd-10-mc,O20.9,O209,"pregnancy, childbirth and puerperium",,
icd-10-mc,O21.0,O210,"pregnancy, childbirth and puerperium",,
icd-10-mc,O21.1,O211,"pregnancy, childbirth and puerperium",,
icd-10-mc,O21.2,O212,"pregnancy, childbirth and puerperium",,
icd-10-mc,O21.8,O218,"pregnancy, childbirth and puerperium",,
icd-10-mc,O21.9,O219,"pregnancy, childbirth and puerperium",,
icd-10-mc,O22.0,O220,"pregnancy, childbirth and puerperium",,
icd-10-mc,O22.1,O221,"pregnancy, childbirth and puerperium",,
icd-10-mc,O22.2,O222,"pregnancy, childbirth and puerperium",,
icd-10-mc,O22.3,O223,"pregnancy, childbirth and puerperium",,
icd-10-mc,O22.4,O224,"pregnancy, childbirth and puerperium",,
icd-10-mc,O22.5,O225,"pregnancy, childbirth and puerperium",,
icd-10-mc,O22.8,O228,"pregnancy, childbirth and puerperium",,
icd-10-mc,O22.9,O229,"pregnancy, childbirth and puerperium",,
icd-10-mc,O23.0,O230,"pregnancy, childbirth and puerperium",,
icd-10-mc,O23.1,O231,"pregnancy, childbirth and puerperium",,
icd-10-mc,O23.2,O232,"pregnancy, childbirth and puerperium",,
icd-10-mc,O23.3,O233,"pregnancy, childbirth and puerperium",,
icd-10-mc,O23.4,O234,"pregnancy, childbirth and puerperium",,
icd-10-mc,O23.5,O235,"pregnancy, childbirth and puerperium",,
icd-10-mc,O23.9,O239,"pregnancy, childbirth and puerperium",,
icd-10-mc,O24.0,O240,"pregnancy, childbirth and puerperium",,
icd-10-mc,O24.1,O241,"pregnancy, childbirth and puerperium",,
icd-10-mc,O24.3,O243,"pregnancy, childbirth and puerperium",,
icd-10-mc,O24.4,O244,"pregnancy, childbirth and puerperium",,
icd-10-mc,O24.8,O248,"pregnancy, childbirth and puerperium",,
icd-10-mc,O24.9,O249,"pregnancy, childbirth and puerperium",,
icd-10-mc,O25.1,O251,"pregnancy, childbirth and puerperium",,
icd-10-mc,O25.2,O252,"pregnancy, childbirth and puerperium",,
icd-10-mc,O25.3,O253,"pregnancy, childbirth and puerperium",,
icd-10-mc,O26.0,O260,"pregnancy, childbirth and puerperium",,
icd-10-mc,O26.1,O261,"pregnancy, childbirth and puerperium",,
icd-10-mc,O26.2,O262,"pregnancy, childbirth and puerperium",,
icd-10-mc,O26.3,O263,"pregnancy, childbirth and puerperium",,
icd-10-mc,O26.4,O264,"pregnancy, childbirth and puerperium",,
icd-10-mc,O26.5,O265,"pregnancy, childbirth and puerperium",,
icd-10-mc,O26.6,O266,"pregnancy, childbirth and puerperium",,
icd-10-mc,O26.7,O267,"pregnancy, childbirth and puerperium",,
icd-10-mc,O26.8,O268,"pregnancy, childbirth and puerperium",,
icd-10-mc,O26.9,O269,"pregnancy, childbirth and puerperium",,
icd-10-mc,O28.0,O280,"pregnancy, childbirth and puerperium",,
icd-10-mc,O28.1,O281,"pregnancy, childbirth and puerperium",,
icd-10-mc,O28.2,O282,"pregnancy, childbirth and puerperium",,
icd-10-mc,O28.3,O283,"pregnancy, childbirth and puerperium",,
icd-10-mc,O28.4,O284,"pregnancy, childbirth and puerperium",,
icd-10-mc,O28.5,O285,"pregnancy, childbirth and puerperium",,
icd-10-mc,O28.8,O288,"pregnancy, childbirth and puerperium",,
icd-10-mc,O28.9,O289,"pregnancy, childbirth and puerperium",,
icd-10-mc,O29.0,O290,"pregnancy, childbirth and puerperium",,
icd-10-mc,O29.1,O291,"pregnancy, childbirth and puerperium",,
icd-10-mc,O29.2,O292,"pregnancy, childbirth and puerperium",,
icd-10-mc,O29.3,O293,"pregnancy, childbirth and puerperium",,
icd-10-mc,O29.4,O294,"pregnancy, childbirth and puerperium",,
icd-10-mc,O29.5,O295,"pregnancy, childbirth and puerperium",,
icd-10-mc,O29.6,O296,"pregnancy, childbirth and puerperium",,
icd-10-mc,O29.8,O298,"pregnancy, childbirth and puerperium",,
icd-10-mc,O29.9,O299,"pregnancy, childbirth and puerperium",,
icd-10-mc,O30.0,O300,"pregnancy, childbirth and puerperium",,
icd-10-mc,O30.1,O301,"pregnancy, childbirth and puerperium",,
icd-10-mc,O30.2,O302,"pregnancy, childbirth and puerperium",,
icd-10-mc,O30.8,O308,"pregnancy, childbirth and puerperium",,
icd-10-mc,O30.9,O309,"pregnancy, childbirth and puerperium",,
icd-10-mc,O31.0,O310,"pregnancy, childbirth and puerperium",,
icd-10-mc,O31.1,O311,"pregnancy, childbirth and puerperium",,
icd-10-mc,O31.2,O312,"pregnancy, childbirth and puerperium",,
icd-10-mc,O31.3,O313,"pregnancy, childbirth and puerperium",,
icd-10-mc,O31.8,O318,"pregnancy, childbirth and puerperium",,
icd-10-mc,O32.0,O320,"pregnancy, childbirth and puerperium",,
icd-10-mc,O32.1,O321,"pregnancy, childbirth and puerperium",,
icd-10-mc,O32.2,O322,"pregnancy, childbirth and puerperium",,
icd-10-mc,O32.3,O323,"pregnancy, childbirth and puerperium",,
icd-10-mc,O32.4,O324,"pregnancy, childbirth and puerperium",,
icd-10-mc,O32.6,O326,"pregnancy, childbirth and puerperium",,
icd-10-mc,O32.8,O328,"pregnancy, childbirth and puerperium",,
icd-10-mc,O32.9,O329,"pregnancy, childbirth and puerperium",,
icd-10-mc,O33.0,O330,"pregnancy, childbirth and puerperium",,
icd-10-mc,O33.1,O331,"pregnancy, childbirth and puerperium",,
icd-10-mc,O33.2,O332,"pregnancy, childbirth and puerperium",,
icd-10-mc,O33.3,O333,"pregnancy, childbirth and puerperium",,
icd-10-mc,O33.4,O334,"pregnancy, childbirth and puerperium",,
icd-10-mc,O33.5,O335,"pregnancy, childbirth and puerperium",,
icd-10-mc,O33.6,O336,"pregnancy, childbirth and puerperium",,
icd-10-mc,O33.7,O337,"pregnancy, childbirth and puerperium",,
icd-10-mc,O33.8,O338,"pregnancy, childbirth and puerperium",,
icd-10-mc,O33.9,O339,"pregnancy, childbirth and puerperium",,
icd-10-mc,O34.0,O340,"pregnancy, childbirth and puerperium",,
icd-10-mc,O34.1,O341,"pregnancy, childbirth and puerperium",,
icd-10-mc,O34.2,O342,"pregnancy, childbirth and puerperium",,
icd-10-mc,O34.3,O343,"pregnancy, childbirth and puerperium",,
icd-10-mc,O34.4,O344,"pregnancy, childbirth and puerperium",,
icd-10-mc,O34.5,O345,"pregnancy, childbirth and puerperium",,
icd-10-mc,O34.6,O346,"pregnancy, childbirth and puerperium",,
icd-10-mc,O34.7,O347,"pregnancy, childbirth and puerperium",,
icd-10-mc,O34.8,O348,"pregnancy, childbirth and puerperium",,
icd-10-mc,O34.9,O349,"pregnancy, childbirth and puerperium",,
icd-10-mc,O35.0,O350,"pregnancy, childbirth and puerperium",,
icd-10-mc,O35.1,O351,"pregnancy, childbirth and puerperium",,
icd-10-mc,O35.2,O352,"pregnancy, childbirth and puerperium",,
icd-10-mc,O35.3,O353,"pregnancy, childbirth and puerperium",,
icd-10-mc,O35.4,O354,"pregnancy, childbirth and puerperium",,
icd-10-mc,O35.5,O355,"pregnancy, childbirth and puerperium",,
icd-10-mc,O35.6,O356,"pregnancy, childbirth and puerperium",,
icd-10-mc,O35.7,O357,"pregnancy, childbirth and puerperium",,
icd-10-mc,O35.8,O358,"pregnancy, childbirth and puerperium",,
icd-10-mc,O35.9,O359,"pregnancy, childbirth and puerperium",,
icd-10-mc,O36.0,O360,"pregnancy, childbirth and puerperium",,
icd-10-mc,O36.1,O361,"pregnancy, childbirth and puerperium",,
icd-10-mc,O36.2,O362,"pregnancy, childbirth and puerperium",,
icd-10-mc,O36.4,O364,"pregnancy, childbirth and puerperium",,
icd-10-mc,O36.5,O365,"pregnancy, childbirth and puerperium",,
icd-10-mc,O36.6,O366,"pregnancy, childbirth and puerperium",,
icd-10-mc,O36.7,O367,"pregnancy, childbirth and puerperium",,
icd-10-mc,O36.8,O368,"pregnancy, childbirth and puerperium",,
icd-10-mc,O36.9,O369,"pregnancy, childbirth and puerperium",,
icd-10-mc,O40.1,O401,"pregnancy, childbirth and puerperium",,
icd-10-mc,O40.2,O402,"pregnancy, childbirth and puerperium",,
icd-10-mc,O40.3,O403,"pregnancy, childbirth and puerperium",,
icd-10-mc,O40.9,O409,"pregnancy, childbirth and puerperium",,
icd-10-mc,O41.0,O410,"pregnancy, childbirth and puerperium",,
icd-10-mc,O41.1,O411,"pregnancy, childbirth and puerperium",,
icd-10-mc,O41.8,O418,"pregnancy, childbirth and puerperium",,
icd-10-mc,O41.9,O419,"pregnancy, childbirth and puerperium",,
icd-10-mc,O42.0,O420,"pregnancy, childbirth and puerperium",,
icd-10-mc,O42.1,O421,"pregnancy, childbirth and puerperium",,
icd-10-mc,O42.9,O429,"pregnancy, childbirth and puerperium",,
icd-10-mc,O43.0,O430,"pregnancy, childbirth and puerperium",,
icd-10-mc,O43.1,O431,"pregnancy, childbirth and puerperium",,
icd-10-mc,O43.2,O432,"pregnancy, childbirth and puerperium",,
icd-10-mc,O43.8,O438,"pregnancy, childbirth and puerperium",,
icd-10-mc,O43.9,O439,"pregnancy, childbirth and puerperium",,
icd-10-mc,O44.0,O440,"pregnancy, childbirth and puerperium",,
icd-10-mc,O44.1,O441,"pregnancy, childbirth and puerperium",,
icd-10-mc,O44.2,O442,"pregnancy, childbirth and puerperium",,
icd-10-mc,O44.3,O443,"pregnancy, childbirth and puerperium",,
icd-10-mc,O44.4,O444,"pregnancy, childbirth and puerperium",,
icd-10-mc,O44.5,O445,"pregnancy, childbirth and puerperium",,
icd-10-mc,O45.0,O450,"pregnancy, childbirth and puerperium",,
icd-10-mc,O45.8,O458,"pregnancy, childbirth and puerperium",,
icd-10-mc,O45.9,O459,"pregnancy, childbirth and puerperium",,
icd-10-mc,O46.0,O460,"pregnancy, childbirth and puerperium",,
icd-10-mc,O46.8,O468,"pregnancy, childbirth and puerperium",,
icd-10-mc,O46.9,O469,"pregnancy, childbirth and puerperium",,
icd-10-mc,O47.0,O470,"pregnancy, childbirth and puerperium",,
icd-10-mc,O47.1,O471,"pregnancy, childbirth and puerperium",,
icd-10-mc,O47.9,O479,"pregnancy, childbirth and puerperium",,
icd-10-mc,O48.0,O480,"pregnancy, childbirth and puerperium",,
icd-10-mc,O48.1,O481,"pregnancy, childbirth and puerperium",,
icd-10-mc,O60.0,O600,"pregnancy, childbirth and puerperium",,
icd-10-mc,O60.1,O601,"pregnancy, childbirth and puerperium",,
icd-10-mc,O60.2,O602,"pregnancy, childbirth and puerperium",,
icd-10-mc,O61.0,O610,"pregnancy, childbirth and puerperium",,
icd-10-mc,O61.1,O611,"pregnancy, childbirth and puerperium",,
icd-10-mc,O61.8,O618,"pregnancy, childbirth and puerperium",,
icd-10-mc,O61.9,O619,"pregnancy, childbirth and puerperium",,
icd-10-mc,O62.0,O620,"pregnancy, childbirth and puerperium",,
icd-10-mc,O62.1,O621,"pregnancy, childbirth and puerperium",,
icd-10-mc,O62.2,O622,"pregnancy, childbirth and puerperium",,
icd-10-mc,O62.3,O623,"pregnancy, childbirth and puerperium",,
icd-10-mc,O62.4,O624,"pregnancy, childbirth and puerperium",,
icd-10-mc,O62.8,O628,"pregnancy, childbirth and puerperium",,
icd-10-mc,O62.9,O629,"pregnancy, childbirth and puerperium",,
icd-10-mc,O63.0,O630,"pregnancy, childbirth and puerperium",,
icd-10-mc,O63.1,O631,"pregnancy, childbirth and puerperium",,
icd-10-mc,O63.2,O632,"pregnancy, childbirth and puerperium",,
icd-10-mc,O63.9,O639,"pregnancy, childbirth and puerperium",,
icd-10-mc,O64.0,O640,"pregnancy, childbirth and puerperium",,
icd-10-mc,O64.1,O641,"pregnancy, childbirth and puerperium",,
icd-10-mc,O64.2,O642,"pregnancy, childbirth and puerperium",,
icd-10-mc,O64.3,O643,"pregnancy, childbirth and puerperium",,
icd-10-mc,O64.4,O644,"pregnancy, childbirth and puerperium",,
icd-10-mc,O64.5,O645,"pregnancy, childbirth and puerperium",,
icd-10-mc,O64.8,O648,"pregnancy, childbirth and puerperium",,
icd-10-mc,O64.9,O649,"pregnancy, childbirth and puerperium",,
icd-10-mc,O65.0,O650,"pregnancy, childbirth and puerperium",,
icd-10-mc,O65.1,O651,"pregnancy, childbirth and puerperium",,
icd-10-mc,O65.2,O652,"pregnancy, childbirth and puerperium",,
icd-10-mc,O65.3,O653,"pregnancy, childbirth and puerperium",,
icd-10-mc,O65.4,O654,"pregnancy, childbirth and puerperium",,
icd-10-mc,O65.5,O655,"pregnancy, childbirth and puerperium",,
icd-10-mc,O65.8,O658,"pregnancy, childbirth and puerperium",,
icd-10-mc,O65.9,O659,"pregnancy, childbirth and puerperium",,
icd-10-mc,O66.0,O660,"pregnancy, childbirth and puerperium",,
icd-10-mc,O66.1,O661,"pregnancy, childbirth and puerperium",,
icd-10-mc,O66.2,O662,"pregnancy, childbirth and puerperium",,
icd-10-mc,O66.3,O663,"pregnancy, childbirth and puerperium",,
icd-10-mc,O66.4,O664,"pregnancy, childbirth and puerperium",,
icd-10-mc,O66.5,O665,"pregnancy, childbirth and puerperium",,
icd-10-mc,O66.6,O666,"pregnancy, childbirth and puerperium",,
icd-10-mc,O66.8,O668,"pregnancy, childbirth and puerperium",,
icd-10-mc,O66.9,O669,"pregnancy, childbirth and puerperium",,
icd-10-mc,O67.0,O670,"pregnancy, childbirth and puerperium",,
icd-10-mc,O67.8,O678,"pregnancy, childbirth and puerperium",,
icd-10-mc,O67.9,O679,"pregnancy, childbirth and puerperium",,
icd-10-mc,O69.0,O690,"pregnancy, childbirth and puerperium",,
icd-10-mc,O69.1,O691,"pregnancy, childbirth and puerperium",,
icd-10-mc,O69.2,O692,"pregnancy, childbirth and puerperium",,
icd-10-mc,O69.3,O693,"pregnancy, childbirth and puerperium",,
icd-10-mc,O69.4,O694,"pregnancy, childbirth and puerperium",,
icd-10-mc,O69.5,O695,"pregnancy, childbirth and puerperium",,
icd-10-mc,O69.8,O698,"pregnancy, childbirth and puerperium",,
icd-10-mc,O69.9,O699,"pregnancy, childbirth and puerperium",,
icd-10-mc,O70.0,O700,"pregnancy, childbirth and puerperium",,
icd-10-mc,O70.1,O701,"pregnancy, childbirth and puerperium",,
icd-10-mc,O70.2,O702,"pregnancy, childbirth and puerperium",,
icd-10-mc,O70.3,O703,"pregnancy, childbirth and puerperium",,
icd-10-mc,O70.4,O704,"pregnancy, childbirth and puerperium",,
icd-10-mc,O70.9,O709,"pregnancy, childbirth and puerperium",,
icd-10-mc,O71.0,O710,"pregnancy, childbirth and puerperium",,
icd-10-mc,O71.1,O711,"pregnancy, childbirth and puerperium",,
icd-10-mc,O71.2,O712,"pregnancy, childbirth and puerperium",,
icd-10-mc,O71.3,O713,"pregnancy, childbirth and puerperium",,
icd-10-mc,O71.4,O714,"pregnancy, childbirth and puerperium",,
icd-10-mc,O71.5,O715,"pregnancy, childbirth and puerperium",,
icd-10-mc,O71.6,O716,"pregnancy, childbirth and puerperium",,
icd-10-mc,O71.7,O717,"pregnancy, childbirth and puerperium",,
icd-10-mc,O71.8,O718,"pregnancy, childbirth and puerperium",,
icd-10-mc,O71.9,O719,"pregnancy, childbirth and puerperium",,
icd-10-mc,O72.0,O720,"pregnancy, childbirth and puerperium",,
icd-10-mc,O72.1,O721,"pregnancy, childbirth and puerperium",,
icd-10-mc,O72.2,O722,"pregnancy, childbirth and puerperium",,
icd-10-mc,O72.3,O723,"pregnancy, childbirth and puerperium",,
icd-10-mc,O73.0,O730,"pregnancy, childbirth and puerperium",,
icd-10-mc,O73.1,O731,"pregnancy, childbirth and puerperium",,
icd-10-mc,O74.0,O740,"pregnancy, childbirth and puerperium",,
icd-10-mc,O74.1,O741,"pregnancy, childbirth and puerperium",,
icd-10-mc,O74.2,O742,"pregnancy, childbirth and puerperium",,
icd-10-mc,O74.3,O743,"pregnancy, childbirth and puerperium",,
icd-10-mc,O74.4,O744,"pregnancy, childbirth and puerperium",,
icd-10-mc,O74.5,O745,"pregnancy, childbirth and puerperium",,
icd-10-mc,O74.6,O746,"pregnancy, childbirth and puerperium",,
icd-10-mc,O74.7,O747,"pregnancy, childbirth and puerperium",,
icd-10-mc,O74.8,O748,"pregnancy, childbirth and puerperium",,
icd-10-mc,O74.9,O749,"pregnancy, childbirth and puerperium",,
icd-10-mc,O75.0,O750,"pregnancy, childbirth and puerperium",,
icd-10-mc,O75.1,O751,"pregnancy, childbirth and puerperium",,
icd-10-mc,O75.2,O752,"pregnancy, childbirth and puerperium",,
icd-10-mc,O75.3,O753,"pregnancy, childbirth and puerperium",,
icd-10-mc,O75.4,O754,"pregnancy, childbirth and puerperium",,
icd-10-mc,O75.5,O755,"pregnancy, childbirth and puerperium",,
icd-10-mc,O75.8,O758,"pregnancy, childbirth and puerperium",,
